feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T88	E1	CRC	1.19474203179807	0.142767972350231	157	77	3.203611151966e-14	8.21438756914358e-14
T1	E1	CRC	1.12983966982867	0.138874959671474	157	76	1.23977337607099e-13	3.09943344017746e-13
T79	E1	CRC	-1.10709268546928	0.146118296991918	157	82	3.00782238364354e-12	7.33615215522815e-12
T95	E1	CRC	-1.0469783547198	0.147810144586622	157	84	4.62576777917018e-11	1.1013732807548e-10
T55	E1	CRC	0.845311976952683	0.119926012549206	157	81	5.58659574994711e-11	1.29920831394119e-10
T40	E1	CRC	1.03706119258514	0.148272347255463	157	76	7.50285973201366e-11	1.70519539363947e-10
T98	E1	CRC	-0.99867262511805	0.146143240067992	157	81	1.78457809164837e-10	3.96572909255194e-10
T74	E1	CRC	0.945897734148695	0.142651388143048	157	81	5.24379718639492e-10	1.13995591008585e-09
T47	E1	CRC	-0.965941817264609	0.146519781821948	157	79	6.41516700496571e-10	1.36492914999271e-09
T21	E1	CRC	-0.74334482018753	0.123755614234582	157	84	1.29908633738282e-08	2.70642986954755e-08
T29	E1	CRC	0.910005923190507	0.151650108848531	157	79	1.33769803321096e-08	2.72999598614481e-08
T36	E1	CRC	0.883571311734028	0.147789760082126	157	71	1.49388825486298e-08	2.98777650972595e-08
T3	E1	CRC	-0.905071223688847	0.15162929300793	157	77	1.56706518355351e-08	3.07267683049707e-08
T27	E1	CRC	-0.875684713427988	0.152509287203039	157	80	4.79695751312115e-08	9.22491829446375e-08
T35	E1	CRC	0.863433464077073	0.151093129372966	157	76	5.4770318825803e-08	1.03340224199628e-07
T65	E1	CRC	-0.823750142315373	0.149905955773352	157	74	1.57006887284499e-07	2.90753494971295e-07
T81	E1	CRC	-0.816758016415927	0.153681701208805	157	82	3.66245253770542e-07	6.65900461400985e-07
T94	E1	CRC	0.78638140376464	0.150625339190015	157	80	5.64837767480105e-07	1.00863887050019e-06
T82	E1	CRC	-0.771403205116056	0.148226813166209	157	76	6.09434616394222e-07	1.06918353753372e-06
T64	E1	CRC	-0.779581216896366	0.151312887677898	157	77	7.73128511502296e-07	1.33298019224534e-06
T28	E1	CRC	-0.764573557460944	0.153689352406308	157	79	1.71741283066838e-06	2.91086920452268e-06
T33	E1	CRC	0.766471402969294	0.154885108944635	157	78	1.92897987450022e-06	3.21496645750037e-06
T4	E1	CRC	-0.74136789420123	0.154982042716149	157	79	3.97820886415681e-06	6.5216538756669e-06
T76	E1	CRC	0.731090419375371	0.155602492547795	157	73	5.74112864309316e-06	9.25988490821477e-06
T15	E1	CRC	0.677896316963058	0.149846041867031	157	77	1.20081225979337e-05	1.90605120602122e-05
T49	E1	CRC	-0.674158813473966	0.156158983581287	157	77	2.80825404958969e-05	4.38789695248389e-05
T59	E1	CRC	0.651968611446226	0.15708140078946	157	81	5.45561539387013e-05	8.39325445210789e-05
T34	E1	CRC	0.571683580361055	0.150721177772535	157	83	0.000212891291261313	0.000322562562517142
T23	E1	CRC	0.550195498390128	0.147951353073869	157	79	0.000279308391972298	0.00041687819697358
T37	E1	CRC	0.567797458269306	0.158041392868491	157	77	0.00043896473085627	0.000636180769356912
T48	E1	CRC	0.567665195014805	0.157996437213729	157	83	0.000438677015000671	0.000636180769356912
T42	E1	CRC	-0.494346046273686	0.156737074160438	157	83	0.00193463655792924	0.00276376651132748
T89	E1	CRC	0.441899754122596	0.142804091247084	157	81	0.00233996571413641	0.0032957263579386
T91	E1	CRC	-0.485632857343908	0.157399810959024	157	81	0.00240843993215882	0.0033450554613317
T87	E1	CRC	-0.473646412731633	0.157029366856426	157	82	0.00299145002756071	0.00409787675008317
T24	E1	CRC	0.450824137916819	0.159838635669361	157	83	0.00542237303334817	0.00732753112614618
T57	E1	CRC	0.430223796943708	0.159975102064835	157	77	0.00794387109592019	0.010452461968316
T84	E1	CRC	0.427785631513461	0.158899913653098	157	71	0.00787929238119973	0.010452461968316
T52	E1	CRC	0.417122730344629	0.159608887480007	157	79	0.00984768451564508	0.0127892006696689
T99	E1	CRC	-0.415828030438204	0.160289759141096	157	80	0.0103895009036484	0.0133198729533954
T53	E1	CRC	-0.408993889697891	0.158183751369782	157	88	0.0106429723789292	0.0134721169353534
T86	E1	CRC	0.39096641677956	0.157862241042363	157	77	0.0143372549515231	0.0179215686894038
T97	E1	CRC	0.392737886125998	0.160720605930071	157	89	0.0156635519012671	0.019337718396626
T8	E1	CRC	0.388933706668932	0.15950510778513	157	82	0.0158832480363359	0.0193698146784584
T75	E1	CRC	-0.332316148566863	0.160783391982768	157	79	0.0404109849448443	0.0486879336684871
T17	E1	CRC	0.308148300780199	0.150882213204821	157	84	0.042815519394155	0.0509708564216131
T66	E1	CRC	0.318529182217609	0.161189376634234	157	81	0.0499163723828022	0.0587251439797673
T90	E1	CRC	-0.30229925830701	0.160594107139632	157	78	0.0616585542110717	0.071695993268688
T9	E1	CRC	-0.278678484611372	0.16138578240005	157	80	0.0861986283056579	0.0984119619616969
