feature	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T48	T49	T50	T51	T52	T53	T54	T55	T57	T58	T59	T60	T61	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76	T77	T78	T79	T80	T81	T82	T83	T85	T86	T87	T88	T89	T90	T91	T92	T93	T94	T95	T96	T97	T98	T99	T100
S11	0	0	9.3952307095593e-06	0	0.0497753426114646	0.0698640532680612	0.304176754113861	0.00577497147830584	0.207377345776266	0.00385750320812424	0	1.69905563196287e-05	0	0	0	0	0	0	0.10872854659133	0	0.00439819604059911	0.00996914125463179	0	0	0.0405946891706287	0.00693428211779336	0	0.00645148716180964	0.00392728869262579	0	0	0	0	0.0146038228348801	0.0163709907017137	0	0.0041488257500977	0	0.0137336621470933	0.0102123621942753	0	0	0.0110200997630836	0	0	0	0.00114350768520883	0	0.0022021252927631	0	0	0.00231062127777128	0	0	0.0138864775740819	0	0	0.00295497076252019	0.000594034326082051	0	0	0	0.000464459792545627	0	8.26073979665635e-05	0	0	0	0	0	0	0	5.62176005874266e-05	0	0.00144250608985482	0	0	0.000913594046854994	0.000118483887405435	0	0.00127834718146541	0.00760863164614869	0.0162426870340029	0	0	0.00211864173920325	0	0	0	0.000839573221232526	0	0.000244949528558286	0	0.000513171990836368	0	0	8.07359654454489e-05
S12	0	0	0.0193067340522888	0	0.00667402287191601	0.0225345110612949	0.0299703248589824	0.0539176726526454	0.214035976691391	0.0816923193008593	0.02717078497521	0	0	0	0	0	0	0.00678224427392708	0.131025774999694	0.00912804017312099	0.0250793604559078	0	0	0	0.0257244534092776	0.00356834345458142	0.0210365463773812	0.000787698444737249	0.0858414449300208	0	0	0	0.00205548824605408	0.0185441918483949	0.0238759036490968	0	0	0	0.00374768569737419	5.53300510950263e-05	0	0	0.0156344093661482	0	0	0.000508444481506656	0.00349444809493799	0	0.0202152625581036	0	0.0044488023749002	0	0	0	0.000962471427265618	0.00063724443993682	0	0.0279594612594098	0.0404621645870436	0.0376710720052869	0	0	0.000245817034023674	0	0	0	0	0	0	2.87481224443951e-05	0	0	0	0	0	0	0	0.00459819197229708	0.000246245863830177	0	0	0	0.0031788863472182	0	0	0.000158925168274557	0	0	0	0	0	0	0	0	0	0.00342324299359781	0
S13	0.118853944170822	0	8.75527494194203e-05	0	0	0	0.0246042171718679	0.532100295143347	0.00151407814388116	0	0	0	0	0.00932778183535766	0	0.207753039267436	0	0	0	0	0	0	0	0.0079604187397623	0.0335729288490614	0.00665576044901813	0	0	0	0	0	0	0	0.00698615298039876	0	0	0	0	0	0	0	0	0	0	0	0.0100761183870874	0	0	0.00425206540568237	0	0	0	0.00270599858209722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00122835064294969	0	0	0	0	0.00382600147887543	0	0	0.00463943807146951	0	0	0.00311597819270812	0	0	0	0	0	0	0	0	0.00118142373971007	0.000332120534409992	0	0	0.000695757725322587	0	0	0
S14	0	0	0	0.016607339421258	0	0.0890545806127247	0.295124972466683	0	0.149400025616987	0.0120568470023878	0.00889864262788741	0	0	0	0	0	0	0	0.0726303429769176	0.0014746789907107	0.0148791476981222	0	0	0	0.0395137793886322	0.00275629810444253	0.000115096955357939	0.000242860780543973	0.0207097226326664	0	0.0475007481595307	0.0183785411752933	0.0031575801442048	0	0.0118244046121826	0	0	0	0.00444955370240257	0.00391938585459994	0	0	0.0150280187797579	0	0	0.000178712037925614	0	0.00729336946334231	0.0071776327064109	0	0.00965695025120952	0.00637073047766663	0	0	0.0133241124878004	0	0	0.0237338162517519	0.011639032379591	0.00508077728428833	0	0	0.00298020814288578	0.000643926137608134	0	0	0	0	0	0	0	0	0	0	0.000267597882750246	0	0	0.00178425289068033	0	0	0.00385325063601148	0	0.0154947054355386	0	0	0	0	0	0	0.00021221003131736	0	0	0.00123700976450359	0.00209334611790274	0	0.000843504069937386	0.00143213365331298
S15	0.0140214544046165	0	0.183058657754632	0.0493979433642706	0	0.0117700259052874	0.0990502050195744	0	0.213561998292069	0	0.0174715558205829	0	0.0181955251237568	0	0	1.76465959398754e-05	2.12918820943451e-05	0	0.0492721296635724	0	0	0	0	0	0.0789510716265785	3.49842434387702e-05	0.01976733776056	0.000280133232395115	0.00668493065458596	0.0109366250388941	0	0	0	0.00502850214723458	0.0259890416406712	0	0	0	0.000680309086441542	0	0	0	0.00817376857644495	0	0	0	0	0.00151932191148855	0.00482214314576798	0	0	0	0	0	0.0286987769822478	0	0	0.042606399648878	0.000667640643882903	0	0	0	0.0122783498271607	0	0	0	0	0	0	0.00699184216064334	0	0	0.00205677441910446	0	0.00386903664696142	0	0	0.000889455790698504	0	0	0.0031715824640391	0.00260948842649402	0.00590616230368261	0	0	0.00710526822061685	0	0	0	0	0	0	0.000993031250233124	0.000108553986114649	0	0	0.00114933433834467
S16	0	0.0349271542194564	0	0.00133871708974655	0.00308599958864587	0.00284693035499695	0.0747231632063721	0	0.0400804735345485	1.08819360304472e-05	0.0848865329262457	0.0386319689512704	0.000146713516925042	4.18581241349956e-05	0	0	0	0.000165287010264879	0.18473823426265	0	0	0	0	0.0348650409358313	0.0293822892109862	0.0170160088400703	0	0	0	0.167996048852293	0	0	7.47808949627283e-05	0.0684385713117206	0.000161434744158112	0	0	2.80299654624168e-05	0.0543663184699174	0	0	0	0	0	0	0	0	0	0.0011270582621132	0	0	0.000445639262394532	0.000346396858460118	0	5.32331919280201e-06	0	0	0.0012569412888193	0.00819603795584683	0	0	0	0.0159021037027809	0.0135529226133742	0.0147206459268037	0	0.00624459671156404	0	0	0.000154941113339217	0	0	0	0	1.11108990872656e-05	0	0	0.000330787365568474	0	0	0	0.0702234076193122	0	0	0	0.00613280502377529	0	0	0	0.000171030229986217	0	0.0015401802526285	0.000538784667439497	0	0	0	0.000107042668882124
S17	0.00191098265065428	0	0.634036702191835	0	0.0853584959511989	0	0.00442321097030217	0	0.175006891861072	5.32084819780993e-06	8.49223195191528e-05	0	0	0	0	0	0	0.00036923063159818	0.00654491680418814	0.0314687472421283	0.00516639181331071	0.00299295768054376	0	0	0.0111551619336484	0	0.000516700138115819	0	0	0	0	0	0	0	0.00118243366623096	0	0.0018457561322056	0	0	0	0.000892668101217399	0	0	0	0	0.00435797717673718	0	0	0.00110589524925497	0	0	0	0	0	0.0054851571445591	0	0	0	0	0	0	0	0	0	0	0	0	0.0013163964679813	0	0	0	0	0	0	0.000247265501405433	0	0.00347428236915451	0	0	0	0	0.00583912211547351	0.00423256794682932	0	0	0.000142643871364171	0	0	0	0	0	0	0	0	0	0.00617080028799398	0
S18	0.111546987841382	0	0.000459536966634623	0	0	0.0729625057086891	0.0818408927436092	0	0	0.189369801011543	0	0	0	0	0	0.000206603305236277	0	0	0	0	0	0	0	0	0.128090510888855	0	0	0	0	0	0	0	0.1201727809912	0	0.0331147013089401	0.00944085989777373	0	0	0	0	0	0	0.0506155999917985	0	0	0.0454980197350076	0	0	0.0110502600312104	0	0	0	0	0	0.00639733254234977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0674449406832768	0	0	0	0	0	0	0	0	0.000526373572457679	0	0	0	0	0	0	0.000468464462504909	0	0	0	0	0	0	0
S19	0	0	0.042621787131136	0.0312853021144546	0	0.001788639437014	0.0348980831420583	0.0200789902231279	0.350638139754557	0.0294546986987097	0	0	0	0	0	0	0	0	0.0146141769862766	0	0.119689174772147	0	0	0.0604847645611258	0.00869705529511754	0	0.00104114887244062	0	0.0140332140578493	0	0	0	0	0	0.0391643042393159	0	0	0	0	0.063796905691758	0	0	0	0	0	0.00291321933618421	0	0	0.000183462307867633	0	0	0	0	0	0.102108776780448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346395793423754	0	0	0	0	0.0016794668532182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S20	0.0642709923321979	0	0	0	0	0.0257396528126609	0.137128312180513	0	0.127603469585698	0.0420941992411456	0	0	0	0.000181908720002319	0	0.00204940081510912	0.111691738970989	0	0	0	0.0537098369367228	0.00088435281715972	0	0.0223245880165713	0.0809739245758539	0.00440792727912639	0	0	0.00185915641048346	0.00529399875333982	0	0	0	0.00897217467623935	0.0189036269227459	0.00723559063000302	0	0	0.000247132785825237	0.000504863406563796	0	0	0	0	0	0.0041404189120483	0	0	0.00626343996877844	0	0	0.0304534625565492	0.0031693365724199	0	0.0206043171082438	0.0154950309748022	0	0.108681827740198	0	0	0	0	0.00181765113446773	0	0	0	0	0	0	0.00367369219133884	0	1.83874999276717e-06	0	6.98926792917862e-05	0.000696411064130602	0	0	0.00107114793475114	0	0	0	0.00398068978137728	0	0	0.0206138163560227	0.00302017927128717	0.000489862919387293	0	0	0	0	0.00141533621596246	0	0	0	0	0
