feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T84	E1	CRC	0.00284626953195593	0.00176106758056911	157	39	0.108080669178526	0.337752091182892
T93	E1	CRC	0.00210481819269346	0.00129095864598005	157	135	0.105040961825877	0.337752091182892
T8	E1	CRC	-0.0125068227450401	0.00801256156334736	157	120	0.120586331678397	0.365413126298174
T44	E1	CRC	-0.00597665876066642	0.0041007526685431	157	51	0.147014105034494	0.397335419012147
T46	E1	CRC	0.00703222275263374	0.0047574320974141	157	103	0.141395452579677	0.397335419012147
T59	E1	CRC	-0.00273746323957789	0.00187550759701005	157	54	0.146427825053364	0.397335419012147
T97	E1	CRC	-0.000717508762350897	0.000488619660524331	157	103	0.144011165492742	0.397335419012147
T73	E1	CRC	0.00014855294403317	0.00010497643196096	157	32	0.159042899460586	0.418533945948912
T53	E1	CRC	0.00331738839424264	0.00238096952683263	157	146	0.165525992026604	0.424425620581036
T25	E1	CRC	0.00563008081989933	0.00412478037480965	157	157	0.174249691653677	0.424999247935798
T68	E1	CRC	0.00395462232936594	0.002882151714986	157	90	0.172012448590985	0.424999247935798
T12	E1	CRC	0.00583704469429352	0.00439055476079562	157	110	0.18565127472382	0.431747150520511
T19	E1	CRC	0.00739241257475318	0.00554234988548136	157	156	0.184224444947766	0.431747150520511
T21	E1	CRC	-0.00336519516909554	0.00271338572475207	157	124	0.216768204488066	0.48170712108459
T72	E1	CRC	-0.000883453393167092	0.00071043644866333	157	127	0.215547859770744	0.48170712108459
T62	E1	CRC	0.00237650450270093	0.0019570863732814	157	127	0.226477172485717	0.492341679316776
T63	E1	CRC	0.00649374834345086	0.00541260703925176	157	26	0.232069026993017	0.493763887219184
T18	E1	CRC	0.00836138222142311	0.00714335930831436	157	76	0.243591787229018	0.497126096385752
T56	E1	CRC	-0.00438066791481596	0.00371103545870227	157	35	0.23963218413158	0.497126096385752
T39	E1	CRC	0.00398878398040497	0.00351761067587064	157	143	0.258567534477698	0.517135068955396
T13	E1	CRC	0.00488074491381424	0.00439639059777317	157	123	0.268644696669268	0.526363361130794
T66	E1	CRC	0.00203149743334883	0.00184941241462066	157	50	0.273708947788013	0.526363361130794
T6	E1	CRC	-0.012303285120047	0.0115369054107347	157	154	0.287888239074663	0.543185356744647
T11	E1	CRC	0.00404048458297712	0.00392877167296749	157	154	0.305347654719675	0.565458619851251
T24	E1	CRC	0.00424979844650608	0.00456386620943165	157	76	0.35320656923932	0.586599717389888
T41	E1	CRC	-0.00179338850454584	0.00194455655308643	157	50	0.357825827607832	0.586599717389888
T45	E1	CRC	-0.00206418092171166	0.00222411266418336	157	36	0.354802894104938	0.586599717389888
T47	E1	CRC	-0.000700098321082455	0.000723327791135923	157	28	0.334609479414603	0.586599717389888
T70	E1	CRC	0.00266191876056771	0.00268594295197261	157	48	0.323203033200372	0.586599717389888
T81	E1	CRC	-0.000420543453326439	0.000453899616190861	157	78	0.355620324422898	0.586599717389888
T85	E1	CRC	-0.000420354543817931	0.000454687662611145	157	14	0.356667887024373	0.586599717389888
T54	E1	CRC	0.00302744245153634	0.00356249614920315	157	121	0.39674181836837	0.639906158658662
T15	E1	CRC	-0.00843723792528284	0.0112664339959157	157	70	0.455062828016277	0.681759193676329
T16	E1	CRC	0.00200563037334104	0.00264588513723926	157	121	0.449590752791536	0.681759193676329
T34	E1	CRC	0.00170345009189589	0.00231837826521602	157	121	0.463596251699903	0.681759193676329
T51	E1	CRC	0.0020149967888701	0.00260216134943097	157	51	0.439900425801951	0.681759193676329
T55	E1	CRC	0.0006073291930133	0.00080779621829704	157	22	0.453290614013986	0.681759193676329
T96	E1	CRC	-0.000529539159103933	0.000717952083880178	157	126	0.461891540057974	0.681759193676329
T40	E1	CRC	-0.0030438196269364	0.00430436116970535	157	125	0.480536421243193	0.696429596004627
T64	E1	CRC	-0.00113517147837657	0.00173240667121592	157	28	0.513273657629848	0.733248082328355
T49	E1	CRC	-0.00286055415560762	0.00453907096867638	157	101	0.529487163860005	0.735398838694451
