feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T1	E1	CRC	-0.0165032272182531	0.018925135159964	128	126	0.3848523378919	0.669162710733205
T15	E1	CRC	0.000210381089441587	0.000234992424045171	128	3	0.372351179361102	0.669162710733205
T30	E1	CRC	-0.00364519548514446	0.00439255953577996	128	95	0.408189253547255	0.669162710733205
T35	E1	CRC	-0.00192984960605261	0.00217722786945738	128	113	0.377101824968178	0.669162710733205
T40	E1	CRC	-0.00369153081752588	0.00418542450601531	128	92	0.379458057908686	0.669162710733205
T66	E1	CRC	0.000989191382307056	0.00117205811983705	128	55	0.400281153699386	0.669162710733205
T71	E1	CRC	-0.00189544117413532	0.00199883336514384	128	48	0.344805315166481	0.669162710733205
T73	E1	CRC	0.00267137955809953	0.00313384644093619	128	20	0.395593780978898	0.669162710733205
T81	E1	CRC	0.000353922072766921	0.00038185844510621	128	52	0.355781013773835	0.669162710733205
T91	E1	CRC	1.137330975988e-06	1.35451713999352e-06	128	1	0.402690588550676	0.669162710733205
T100	E1	CRC	0.000572781238173168	0.00065056276365364	128	89	0.38029744011834	0.669162710733205
T74	E1	CRC	0.000740047183713551	0.000922739995827684	128	21	0.424056892321679	0.683962729551095
T37	E1	CRC	-0.0022171329122168	0.00296231919303727	128	76	0.455586601695225	0.713694428279077
T70	E1	CRC	0.000542459043680167	0.000726683435999909	128	17	0.45676443409861	0.713694428279077
T98	E1	CRC	3.89833980136637e-05	5.53397683049626e-05	128	9	0.482460449897033	0.742246845995435
T57	E1	CRC	-0.00152957605202203	0.00225815221874055	128	128	0.499421050575117	0.752351332830063
T87	E1	CRC	0.00132145527327294	0.0020041203337833	128	44	0.510862021722464	0.752351332830063
T97	E1	CRC	0.000553766452561383	0.000841311584229969	128	83	0.511598906324443	0.752351332830063
T2	E1	CRC	0.00975625699085269	0.0165111737521768	128	94	0.555653817238624	0.76116961265565
T43	E1	CRC	0.0017399070488003	0.00278569260437035	128	105	0.533371596746849	0.76116961265565
T63	E1	CRC	0.00038650112734698	0.000618400616587381	128	11	0.533100510468755	0.76116961265565
T69	E1	CRC	0.0021284904461179	0.00357726411381268	128	57	0.552907123424734	0.76116961265565
T75	E1	CRC	0.000516618817150092	0.000864238030651732	128	121	0.551063775898443	0.76116961265565
T17	E1	CRC	0.00642331563897112	0.0116052021525846	128	103	0.580911556136436	0.78501561640059
T84	E1	CRC	0.000633872871832682	0.00118141974916149	128	54	0.592535004133223	0.79004667217763
T4	E1	CRC	0.00231258564673653	0.00466647056265441	128	85	0.621057608636586	0.796227703380238
T42	E1	CRC	-0.00284589273324529	0.0056705420760779	128	85	0.616632619582908	0.796227703380238
T82	E1	CRC	0.000641817284543966	0.00125748212427887	128	28	0.610665148565028	0.796227703380238
T77	E1	CRC	0.000515239978377391	0.00107606298409517	128	115	0.63289689906527	0.801135315272493
T50	E1	CRC	-0.000986094637701182	0.00229856822454273	128	127	0.668653018460618	0.835816273075772
T10	E1	CRC	-0.00186199050556654	0.00592492487756536	128	115	0.753840296538491	0.919317434803038
T26	E1	CRC	-0.00107907504644672	0.00340366513199804	128	125	0.751743068661472	0.919317434803038
T8	E1	CRC	0.00289449645076348	0.0106891391414655	128	98	0.786996756897235	0.948188863731608
T12	E1	CRC	-0.00104901466411649	0.00556074973074382	128	101	0.850673578244311	0.948863543276217
T29	E1	CRC	0.0010069917979033	0.00515535627104347	128	99	0.845449845862474	0.948863543276217
T61	E1	CRC	0.000295304343756026	0.00122417876591589	128	98	0.809771693283116	0.948863543276217
T64	E1	CRC	-0.000325170903415942	0.00147373291795524	128	19	0.825726461766592	0.948863543276217
T65	E1	CRC	-0.000327677692225424	0.00177676087155346	128	103	0.853977188948595	0.948863543276217
T83	E1	CRC	9.77585687066088e-05	0.000527477493687696	128	106	0.8532664814441	0.948863543276217
T93	E1	CRC	-0.000194628905736673	0.000847644080519433	128	118	0.818765919345554	0.948863543276217
T11	E1	CRC	0.0013827704358039	0.0115523872445698	128	124	0.904914891342365	0.969509293372131
T13	E1	CRC	0.000635066460017947	0.00479588884946164	128	52	0.894864176646701	0.969509293372131
T28	E1	CRC	0.000270918890500506	0.00242815444924052	128	97	0.911338735769803	0.969509293372131
T67	E1	CRC	0.000205604639326934	0.00149768424082535	128	65	0.891027262204972	0.969509293372131
T23	E1	CRC	0.000777163596962843	0.00830926983685871	128	92	0.925631308902567	0.974348746213228
T52	E1	CRC	0.000219058250500914	0.0029279033524692	128	62	0.940478615442509	0.976928484081945
T85	E1	CRC	2.2094192387043e-05	0.000335645014019031	128	13	0.947620629559487	0.976928484081945
T19	E1	CRC	0.000238539633653144	0.00600494521735806	128	124	0.968376148564229	0.987160591154401
T38	E1	CRC	-6.61685083291571e-05	0.00231971068121554	128	18	0.977288985242857	0.987160591154401
T96	E1	CRC	3.27498959054347e-06	0.000841523986454474	128	87	0.996901006290744	0.996901006290744
