feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T32	E1	CRC	1.04887920446993	0.141857909776377	128	60	1.74817896123659e-11	5.46305925386433e-11
T27	E1	CRC	-1.15120410451239	0.158285368507371	128	69	3.29032742676125e-11	9.97068917200377e-11
T43	E1	CRC	-0.911245351590687	0.128165167527933	128	66	7.67156358486569e-11	2.25634223084285e-10
T9	E1	CRC	1.04594055598013	0.152021383661844	128	61	2.4960492819517e-10	7.13156937700485e-10
T80	E1	CRC	1.06545819180088	0.158218372215099	128	70	5.24243545211364e-10	1.45623207003157e-09
T99	E1	CRC	-1.01156024904673	0.159255155094832	128	67	3.53265648673569e-09	9.54772023442079e-09
T91	E1	CRC	-0.981075082492377	0.155377471404522	128	61	4.25169266252678e-09	1.11886649013863e-08
T46	E1	CRC	0.9856761667752	0.163047880887352	128	63	1.56969249574657e-08	4.02485255319633e-08
T72	E1	CRC	-0.959270156319209	0.162015343074912	128	62	2.84608625023627e-08	7.11521562559068e-08
T73	E1	CRC	0.934048023776068	0.162284819312706	128	59	6.20971202676804e-08	1.51456390896781e-07
T64	E1	CRC	0.87066726752526	0.160132585564326	128	61	2.69978029087323e-07	6.42804831160293e-07
T2	E1	CRC	-0.863556070993865	0.159934430803546	128	66	3.20335660087599e-07	7.44966651366508e-07
T19	E1	CRC	0.841362690453992	0.156504739279938	128	70	3.56195408863142e-07	8.09535020143504e-07
T77	E1	CRC	0.828203772464232	0.157237304357326	128	65	5.80207787290344e-07	1.28935063842299e-06
T15	E1	CRC	0.86005475711825	0.163741202060976	128	61	6.19487454432004e-07	1.34671185746088e-06
T96	E1	CRC	0.821324444988296	0.157669197454143	128	63	7.51105493566438e-07	1.59809679482221e-06
T53	E1	CRC	-0.847330081530864	0.168912587000293	128	63	1.74866377156456e-06	3.64304952409284e-06
T75	E1	CRC	-0.836043724445771	0.168837718157662	128	66	2.3114025540034e-06	4.71714806939469e-06
T51	E1	CRC	0.833132461366147	0.169212566867555	128	71	2.60858245425797e-06	5.21716490851595e-06
T49	E1	CRC	-0.813466916528104	0.16826367055713	128	67	3.8135743361904e-06	7.47759673762823e-06
T1	E1	CRC	0.797118429166117	0.167476953060669	128	65	5.23040550149831e-06	1.0058472118266e-05
T42	E1	CRC	0.789900247587189	0.16669057776472	128	65	5.70803881689084e-06	1.04899197145966e-05
T87	E1	CRC	-0.803556208332067	0.169469974198823	128	64	5.64003489242141e-06	1.04899197145966e-05
T95	E1	CRC	0.704322724765879	0.148711632718819	128	60	5.76945584302814e-06	1.04899197145966e-05
T30	E1	CRC	-0.796145577809396	0.170298197669831	128	61	7.44415151867972e-06	1.32931277119281e-05
T58	E1	CRC	0.745193191942461	0.17148880373569	128	60	2.83380109765141e-05	4.97158087307264e-05
T70	E1	CRC	-0.674260752556391	0.169253622023828	128	62	0.000114040015703061	0.000196620716729416
T17	E1	CRC	0.594192737529812	0.155084180636754	128	62	0.000199980805310521	0.000338950517475459
T33	E1	CRC	0.656144260241739	0.17330912039172	128	55	0.000235777384543278	0.000392962307572129
T60	E1	CRC	0.624909988580778	0.170816164905257	128	70	0.00037164831267196	0.000609259528970426
T36	E1	CRC	-0.604183213011572	0.170020106632781	128	68	0.000535640311013189	0.000863935985505144
T24	E1	CRC	-0.589556892993568	0.168391283188636	128	63	0.000641462409590881	0.00101819430093791
T29	E1	CRC	0.601436254511109	0.174045227446484	128	64	0.000748781712968466	0.00116997142651323
T20	E1	CRC	0.571707185270935	0.171860578978881	128	65	0.00115239885124368	0.00177292130960566
T25	E1	CRC	-0.539865030390456	0.171360783106567	128	71	0.00203659887029779	0.00308575586408755
T10	E1	CRC	0.543604113361204	0.173587129569712	128	67	0.00216185512116455	0.00317919870759492
T47	E1	CRC	-0.515197331737196	0.164384184051956	128	59	0.00214476810601878	0.00317919870759492
T68	E1	CRC	0.527517701393533	0.174824811179085	128	59	0.00308548417518641	0.00447171619592234
T93	E1	CRC	-0.511886206966509	0.171574034102384	128	66	0.00342330595368608	0.0048904370766944
T4	E1	CRC	-0.515058590196926	0.173679137078467	128	71	0.00361487137213179	0.00509136812976308
T63	E1	CRC	0.433493618968778	0.155332063497393	128	59	0.00607707179303571	0.00844037749032738
T45	E1	CRC	0.467112630336317	0.175698114268382	128	64	0.00886434899876353	0.0121429438339226
T6	E1	CRC	0.453606962935823	0.17404202786954	128	65	0.010255492297902	0.0138587733755433
T92	E1	CRC	-0.346519776177962	0.144735685831185	128	60	0.0181324276120531	0.0241765701494041
T37	E1	CRC	0.397452454097153	0.177163703614286	128	64	0.026616282728652	0.0350214246429631
T56	E1	CRC	-0.27253671289522	0.125914409283127	128	64	0.032314567749265	0.0419669711029415
T97	E1	CRC	0.364441999160232	0.177560487929715	128	70	0.0421922445458157	0.0540926212125842
T83	E1	CRC	-0.360823893155569	0.176652391288478	128	63	0.0431817097810269	0.0546603921278821
T90	E1	CRC	-0.354818518485214	0.176929532833178	128	62	0.0470602357050426	0.0588252946313033
T81	E1	CRC	0.339947618366125	0.169994518889401	128	64	0.0476772837738029	0.0588608441651887
T11	E1	CRC	0.336819208308022	0.173976153161704	128	62	0.0551062296338485	0.0672027190656689
T13	E1	CRC	-0.316972310063381	0.167294396181175	128	63	0.0604241175485512	0.0728001416247605
T16	E1	CRC	-0.27587503633014	0.16903317680807	128	65	0.105160215222759	0.125190732408046
T59	E1	CRC	-0.174219852530006	0.171424561824551	128	64	0.311431114738107	0.366389546750714
T89	E1	CRC	-0.129460616041	0.172339880102846	128	67	0.453936870303784	0.527833570120679
T7	E1	CRC	-0.131304455937611	0.178735634974829	128	65	0.46393023072036	0.533253138759034
T74	E1	CRC	0.129702485956299	0.178882177232538	128	68	0.46975218085322	0.533809296424113
T3	E1	CRC	-0.117727083288077	0.17151984068922	128	60	0.493737262209131	0.554760968774305
T69	E1	CRC	-0.0883450169466445	0.170919798770531	128	64	0.60614605844387	0.67349562049319
