feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T8	E1	CRC	1.3012591040216	0.162765977738405	107	51	1.79811336005554e-12	6.42183342876977e-12
T26	E1	CRC	1.29541591477367	0.163843923159636	107	55	2.80490417618596e-12	9.6720833661585e-12
T37	E1	CRC	1.239132595652	0.159934222719568	107	53	6.21958725568277e-12	2.02281189802287e-11
T56	E1	CRC	1.25873644279605	0.162498771849155	107	54	6.27071688387089e-12	2.02281189802287e-11
T95	E1	CRC	-1.27087345556205	0.165223502910259	107	52	8.22755330812798e-12	2.57111040878999e-11
T91	E1	CRC	1.17577045259918	0.159628073551167	107	53	4.16290181909642e-11	1.26148539972619e-10
T52	E1	CRC	-1.02139901972827	0.145263369407584	107	58	2.1476395875293e-10	6.31658702214501e-10
T34	E1	CRC	1.17833860276061	0.169565266494391	107	59	3.20274712877201e-10	9.15070608220574e-10
T98	E1	CRC	1.07684133875808	0.155787567034123	107	48	3.83086679956988e-10	1.06412966654719e-09
T83	E1	CRC	1.09286014183643	0.163211586258907	107	52	1.08604311795469e-09	2.93525167014782e-09
T45	E1	CRC	1.10726131257979	0.172944436755677	107	51	4.38150104011333e-09	1.15302658950351e-08
T58	E1	CRC	-0.947731285444715	0.151566584077004	107	50	8.83137384427736e-09	2.26445483186599e-08
T92	E1	CRC	1.05994769441077	0.174124133728767	107	59	1.90411389514826e-08	4.76028473787065e-08
T10	E1	CRC	1.01418174441365	0.170025222959177	107	61	3.34100719014208e-08	8.14879802473677e-08
T90	E1	CRC	-1.00432175692468	0.176953570268895	107	53	1.23557456128156e-07	2.94184419352751e-07
T81	E1	CRC	-0.99131607110227	0.177274826750599	107	51	1.79321200705478e-07	4.17026048152273e-07
T43	E1	CRC	0.973895784369092	0.179068631898373	107	56	3.52385863402893e-07	8.00876962279302e-07
T79	E1	CRC	-0.937312428242691	0.180114207715663	107	46	9.72952880759579e-07	2.16211751279906e-06
T23	E1	CRC	0.826840790584984	0.163816864990956	107	58	1.89128473313801e-06	4.11148855030002e-06
T6	E1	CRC	-0.888996267155032	0.176395812159602	107	48	1.9524580530716e-06	4.1541660703651e-06
T93	E1	CRC	-0.84881648864322	0.17345010755553	107	48	3.59066231828363e-06	7.48054649642423e-06
T24	E1	CRC	0.8499778760292	0.180094813039528	107	49	7.32551680374978e-06	1.49500342933669e-05
T44	E1	CRC	0.726383802662922	0.162118244893196	107	49	1.90239377456768e-05	3.80478754913536e-05
T74	E1	CRC	-0.769703251555245	0.181208175509832	107	50	4.68486237026897e-05	9.18600464758621e-05
T75	E1	CRC	-0.767103575075466	0.185167380770028	107	49	6.96061195954227e-05	0.00013385792229889
T1	E1	CRC	-0.730303480595065	0.178449349023568	107	52	8.39665819134891e-05	0.000158427513044319
T31	E1	CRC	-0.732042720812446	0.185767725049737	107	60	0.000146684174141967	0.00027163735952216
T65	E1	CRC	-0.700422953328532	0.181158532725055	107	52	0.000191751333784401	0.000348638788698912
T87	E1	CRC	-0.712890684947954	0.185644603629165	107	51	0.000210642147154663	0.000376146691347613
T36	E1	CRC	-0.69301236722839	0.181796876593355	107	57	0.000232779178359782	0.000408384523438214
T46	E1	CRC	0.709284683033176	0.186495788448562	107	53	0.000240158651737939	0.000414066640927481
T2	E1	CRC	-0.660198919656904	0.175268493750964	107	50	0.000273173045078349	0.000463005161149744
T16	E1	CRC	0.680829329529527	0.187523668535494	107	53	0.000438863596859394	0.00073143932809899
T47	E1	CRC	-0.62689121894912	0.179521783861975	107	54	0.000702666290861318	0.00115191195223167
T59	E1	CRC	-0.570637728442063	0.173570938544813	107	49	0.0013748632011822	0.00221752129222935
T38	E1	CRC	0.606461358953665	0.185017350356181	107	50	0.00141872292711246	0.00225194115414676
T60	E1	CRC	0.602055862920047	0.185966287047486	107	52	0.00161438896963913	0.00252248276506113
T35	E1	CRC	-0.586506381757615	0.181650486161433	107	58	0.00165959118994759	0.00255321721530399
T88	E1	CRC	-0.490583499157227	0.155849193769014	107	57	0.00214163605376176	0.00324490311176024
T25	E1	CRC	0.508367041601272	0.162359775058711	107	53	0.00225601936729269	0.00336719308551148
T77	E1	CRC	-0.583109441836787	0.189178061416255	107	53	0.00262360631103641	0.00385824457505355
T51	E1	CRC	0.552160954809731	0.188663745067923	107	51	0.0042001117191393	0.00608711843353522
T22	E1	CRC	-0.522522302949671	0.183882107818721	107	58	0.00539324885689133	0.00770464122413047
T99	E1	CRC	0.510536337593622	0.186079074369475	107	54	0.00714679671247241	0.0100659108626372
T9	E1	CRC	-0.516989368723493	0.189163111711469	107	54	0.00736517183563643	0.0102294053272728
T97	E1	CRC	0.519411823831309	0.190777961224723	107	59	0.00758571024327412	0.0103913838948961
T94	E1	CRC	0.412939086915177	0.19142965962085	107	60	0.0332762457226759	0.0449678996252378
T30	E1	CRC	0.349248272651808	0.181115200177942	107	53	0.05651589705674	0.0753545294089867
T85	E1	CRC	0.362911689260146	0.191703582197291	107	49	0.0610995177875783	0.0803941023520768
T41	E1	CRC	0.32791607276079	0.174620094048542	107	57	0.0631719449293181	0.0820414869211923
T71	E1	CRC	-0.337138643864309	0.189571123322547	107	53	0.0782278239640384	0.100292082005177
T57	E1	CRC	0.310348081712334	0.193606641233528	107	52	0.111942557847173	0.141699440312878
T86	E1	CRC	-0.292214906545835	0.193839668335893	107	57	0.134683329831676	0.168354162289595
T21	E1	CRC	0.27832991504834	0.187405909183074	107	54	0.140494554824406	0.173450067684452
T15	E1	CRC	0.24847549580112	0.177470152916158	107	53	0.164432059114504	0.200526901359151
T73	E1	CRC	-0.263924330780941	0.192184049278937	107	52	0.172587760804263	0.207937061209955
T54	E1	CRC	-0.253269763629087	0.194182085507281	107	47	0.194986542519469	0.232126836332702
T29	E1	CRC	0.245008500553476	0.191885249448163	107	55	0.204472090529787	0.240555400623279
T33	E1	CRC	-0.213872052439892	0.18866728501755	107	49	0.259546633703079	0.30179841128265
T61	E1	CRC	0.211950879583977	0.189085409796577	107	50	0.264876232922724	0.304455440141062
T49	E1	CRC	-0.214656870350608	0.194294968265374	107	50	0.271771954237514	0.308831766178993
T4	E1	CRC	0.18143871444001	0.182376679846209	107	52	0.322092976955978	0.361902221298852
