feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T72	E1	CRC	-0.00344190787720109	0.00270544687399361	107	94	0.206107291787616	0.421258931083994
T80	E1	CRC	-0.00174090839411807	0.00137240408467319	107	104	0.207421027097971	0.421258931083994
T83	E1	CRC	-0.00461328575694789	0.00358929150398872	107	103	0.201518211706364	0.421258931083994
T51	E1	CRC	0.00124344726004218	0.00110743155639111	107	34	0.264074432873163	0.48013533249666
T73	E1	CRC	-0.000474858274011285	0.000420624119985709	107	25	0.261496966990945	0.48013533249666
T52	E1	CRC	0.00296517308272185	0.00267850404047206	107	39	0.270812456730578	0.483593672733175
T27	E1	CRC	0.00447186339549424	0.00409659027132139	107	84	0.277504704152631	0.486850358162511
T77	E1	CRC	-0.00259470442167723	0.00241818669158828	107	103	0.285732795173172	0.492642750298572
T19	E1	CRC	0.00564242212278498	0.00542686560778861	107	102	0.300858139886188	0.509929050654556
T15	E1	CRC	0.00444940449971451	0.00436776554985994	107	24	0.31069105306267	0.517818421771117
T13	E1	CRC	0.00393822295236463	0.00424405545331365	107	90	0.355567602539832	0.54303530527711
T28	E1	CRC	0.00186310621854635	0.00191965675793817	107	49	0.334007147354825	0.54303530527711
T45	E1	CRC	0.00239648039656582	0.00252514532916313	107	27	0.344776203190968	0.54303530527711
T54	E1	CRC	0.00136810936643048	0.00146066341462195	107	70	0.351095351900939	0.54303530527711
T59	E1	CRC	-0.00345125118019061	0.00374135435198936	107	30	0.358403301482893	0.54303530527711
T98	E1	CRC	-0.00262691700226812	0.0027674365744677	107	28	0.344686415095069	0.54303530527711
T36	E1	CRC	-0.00340090493698068	0.00375448924955448	107	39	0.367103147744158	0.546498404955805
T37	E1	CRC	0.0019028337894952	0.00212806973146194	107	48	0.373281553748448	0.546498404955805
T56	E1	CRC	-0.00166031427476957	0.00187174392067788	107	17	0.377083899419506	0.546498404955805
T32	E1	CRC	0.00387438067528062	0.00446628223225898	107	89	0.387660919583185	0.553801313690265
T81	E1	CRC	0.000305752771948077	0.000357665257904956	107	57	0.394576463285344	0.555741497584992
T42	E1	CRC	-0.00484024625873977	0.00573521248154631	107	20	0.400614683887677	0.556409283177329
T49	E1	CRC	-0.00345468999884475	0.00438708484149369	107	66	0.432781794679471	0.592851773533522
T8	E1	CRC	-0.0106009622130148	0.0140060305824887	107	102	0.450813472282106	0.60920739497582
T96	E1	CRC	-0.000969045706659689	0.00135463590783449	107	91	0.475977335533453	0.634636447377938
T67	E1	CRC	-0.00126860944751861	0.00195781919758151	107	82	0.518418316838962	0.682129364261792
T5	E1	CRC	-0.00795941963365828	0.015941672199672	107	107	0.618623959531529	0.803407739651337
T55	E1	CRC	8.99354754236092e-05	0.000194764746033994	107	10	0.645205374347605	0.827186377368724
T87	E1	CRC	-0.000262701068699779	0.000626638780062196	107	14	0.675909950323976	0.85558221559997
T71	E1	CRC	-0.000120556586694207	0.000305061139532391	107	11	0.693505642655614	0.866882053319517
T53	E1	CRC	-0.000982808028219178	0.00299309323495301	107	99	0.743294433657465	0.894365912386624
T65	E1	CRC	-0.000619525742219401	0.00189746202469404	107	92	0.744694247451727	0.894365912386624
T88	E1	CRC	0.000194277503430793	0.000552455789967069	107	42	0.725796769849406	0.894365912386624
T94	E1	CRC	-0.000254116908699289	0.000799611224498153	107	33	0.751267366404764	0.894365912386624
T63	E1	CRC	0.000152533491338811	0.000534926246641277	107	17	0.776091961460994	0.913049366424699
T11	E1	CRC	0.0022223570600084	0.00923451542120849	107	103	0.810289707787183	0.914225896085805
T23	E1	CRC	-0.000470333641870403	0.00203504656025241	107	20	0.817673748462197	0.914225896085805
T31	E1	CRC	-0.00101133183261707	0.00463943963086688	107	22	0.82786327474125	0.914225896085805
T41	E1	CRC	-0.00156579300611208	0.00622294326806503	107	61	0.801829582560685	0.914225896085805
T61	E1	CRC	0.000311529388365746	0.00130050324274071	107	79	0.811149791313815	0.914225896085805
T79	E1	CRC	0.00034233343486816	0.0016091958108659	107	76	0.831945565438083	0.914225896085805
T43	E1	CRC	-0.00068615681971657	0.0038815449099099	107	101	0.860026318800166	0.924759482580824
T46	E1	CRC	0.00036903809268835	0.00201727303247693	107	80	0.855198580411818	0.924759482580824
T9	E1	CRC	0.00170630441612171	0.0123134102498992	107	107	0.89005311205721	0.942983404048908
T24	E1	CRC	0.00131909051176834	0.0100507508149761	107	65	0.895834233846463	0.942983404048908
T3	E1	CRC	0.0010075469640352	0.0125044988349755	107	95	0.935933519926462	0.945387393865113
T78	E1	CRC	-4.84600423731048e-05	0.000543217860672715	107	27	0.92908557432824	0.945387393865113
T86	E1	CRC	0.000124032687108796	0.00140647109190155	107	96	0.929895900090598	0.945387393865113
T100	E1	CRC	-3.76994809348108e-05	0.000447497550703536	107	88	0.93302196515959	0.945387393865113
T39	E1	CRC	0.000102082404392686	0.00366361923061418	107	83	0.977823659868505	0.977823659868505
